ModID, EntryName, ModelType, ModelTextureName, ItemTextureName
chisel_unlimited;minecraft;minecraft;chisel_unlimited;minecraft;minecraft;chisel_unlimited,acacia_andesite_lever,Lever,andesite;andesite;lever_acacia_andesite;andesite;andesite;lever_acacia_andesite,lever_acacia_andesite
chisel_unlimited;minecraft;minecraft;chisel_unlimited;minecraft;minecraft;chisel_unlimited,acacia_polished_andesite_lever,Lever,polished_andesite;polished_andesite;lever_acacia_andesite;polished_andesite;polished_andesite;lever_acacia_andesite,lever_acacia_andesite
chisel_unlimited;chisel;chisel;chisel_unlimited;chisel;chisel;chisel_unlimited,acacia_array_andesite_lever,Lever,array/andesite;array/andesite;lever_acacia_andesite;array/andesite;array/andesite;lever_acacia_andesite,lever_acacia_andesite
chisel_unlimited;chisel;chisel;chisel_unlimited;chisel;chisel;chisel_unlimited,acacia_braid_andesite_lever,Lever,braid/andesite;braid/andesite;lever_acacia_andesite;braid/andesite;braid/andesite;lever_acacia_andesite,lever_acacia_andesite
chisel_unlimited;chisel;chisel;chisel_unlimited;chisel;chisel;chisel_unlimited,acacia_chaotic_bricks_andesite_lever,Lever,chaotic_bricks/andesite;chaotic_bricks/andesite;lever_acacia_andesite;chaotic_bricks/andesite;chaotic_bricks/andesite;lever_acacia_andesite,lever_acacia_andesite
chisel_unlimited;chisel;chisel;chisel_unlimited;chisel;chisel;chisel_unlimited,acacia_chaotic_medium_andesite_lever,Lever,chaotic_medium/andesite;chaotic_medium/andesite;lever_acacia_andesite;chaotic_medium/andesite;chaotic_medium/andesite;lever_acacia_andesite,lever_acacia_andesite
chisel_unlimited;chisel;chisel;chisel_unlimited;chisel;chisel;chisel_unlimited,acacia_chaotic_small_andesite_lever,Lever,chaotic_small/andesite;chaotic_small/andesite;lever_acacia_andesite;chaotic_small/andesite;chaotic_small/andesite;lever_acacia_andesite,lever_acacia_andesite
chisel_unlimited;chisel;chisel;chisel_unlimited;chisel;chisel;chisel_unlimited,acacia_circular_andesite_lever,Lever,circular/andesite;circular/andesite;lever_acacia_andesite;circular/andesite;circular/andesite;lever_acacia_andesite,lever_acacia_andesite
chisel_unlimited;chisel;chisel;chisel_unlimited;chisel;chisel;chisel_unlimited,acacia_cracked_andesite_lever,Lever,cracked/andesite;cracked/andesite;lever_acacia_andesite;cracked/andesite;cracked/andesite;lever_acacia_andesite,lever_acacia_andesite
chisel_unlimited;chisel;chisel;chisel_unlimited;chisel;chisel;chisel_unlimited,acacia_cracked_bricks_andesite_lever,Lever,cracked_bricks/andesite;cracked_bricks/andesite;lever_acacia_andesite;cracked_bricks/andesite;cracked_bricks/andesite;lever_acacia_andesite,lever_acacia_andesite
chisel_unlimited;chisel;chisel;chisel_unlimited;chisel;chisel;chisel_unlimited,acacia_cut_andesite_lever,Lever,cut/andesite;cut/andesite;lever_acacia_andesite;cut/andesite;cut/andesite;lever_acacia_andesite,lever_acacia_andesite
chisel_unlimited;chisel;chisel;chisel_unlimited;chisel;chisel;chisel_unlimited,acacia_dent_andesite_lever,Lever,dent/andesite;dent/andesite;lever_acacia_andesite;dent/andesite;dent/andesite;lever_acacia_andesite,lever_acacia_andesite
chisel_unlimited;chisel;chisel;chisel_unlimited;chisel;chisel;chisel_unlimited,acacia_encased_bricks_andesite_lever,Lever,encased_bricks/andesite;encased_bricks/andesite;lever_acacia_andesite;encased_bricks/andesite;encased_bricks/andesite;lever_acacia_andesite,lever_acacia_andesite
chisel_unlimited;chisel;chisel;chisel_unlimited;chisel;chisel;chisel_unlimited,acacia_french_andesite_lever,Lever,french/andesite;french/andesite;lever_acacia_andesite;french/andesite;french/andesite;lever_acacia_andesite,lever_acacia_andesite
chisel_unlimited;chisel;chisel;chisel_unlimited;chisel;chisel;chisel_unlimited,acacia_jellybean_andesite_lever,Lever,jellybean/andesite;jellybean/andesite;lever_acacia_andesite;jellybean/andesite;jellybean/andesite;lever_acacia_andesite,lever_acacia_andesite
chisel_unlimited;chisel;chisel;chisel_unlimited;chisel;chisel;chisel_unlimited,acacia_large_tile_andesite_lever,Lever,large_tile/andesite;large_tile/andesite;lever_acacia_andesite;large_tile/andesite;large_tile/andesite;lever_acacia_andesite,lever_acacia_andesite
chisel_unlimited;chisel;chisel;chisel_unlimited;chisel;chisel;chisel_unlimited,acacia_layer_andesite_lever,Lever,layer/andesite;layer/andesite;lever_acacia_andesite;layer/andesite;layer/andesite;lever_acacia_andesite,lever_acacia_andesite
chisel_unlimited;chisel;chisel;chisel_unlimited;chisel;chisel;chisel_unlimited,acacia_mosaic_andesite_lever,Lever,mosaic/andesite;mosaic/andesite;lever_acacia_andesite;mosaic/andesite;mosaic/andesite;lever_acacia_andesite,lever_acacia_andesite
chisel_unlimited;chisel;chisel;chisel_unlimited;chisel;chisel;chisel_unlimited,acacia_ornate_andesite_lever,Lever,ornate/andesite;ornate/andesite;lever_acacia_andesite;ornate/andesite;ornate/andesite;lever_acacia_andesite,lever_acacia_andesite
chisel_unlimited;chisel;chisel;chisel_unlimited;chisel;chisel;chisel_unlimited,acacia_panel_andesite_lever,Lever,panel/andesite;panel/andesite;lever_acacia_andesite;panel/andesite;panel/andesite;lever_acacia_andesite,lever_acacia_andesite
chisel_unlimited;chisel;chisel;chisel_unlimited;chisel;chisel;chisel_unlimited,acacia_pillar_andesite_lever,Lever,pillar/andesite;pillar/andesite;lever_acacia_andesite;pillar/andesite;pillar/andesite;lever_acacia_andesite,lever_acacia_andesite
chisel_unlimited;chisel;chisel;chisel_unlimited;chisel;chisel;chisel_unlimited,acacia_prism_andesite_lever,Lever,prism/andesite;prism/andesite;lever_acacia_andesite;prism/andesite;prism/andesite;lever_acacia_andesite,lever_acacia_andesite
chisel_unlimited;chisel;chisel;chisel_unlimited;chisel;chisel;chisel_unlimited,acacia_raw_andesite_lever,Lever,raw/andesite;raw/andesite;lever_acacia_andesite;raw/andesite;raw/andesite;lever_acacia_andesite,lever_acacia_andesite
chisel_unlimited;chisel;chisel;chisel_unlimited;chisel;chisel;chisel_unlimited,acacia_road_andesite_lever,Lever,road/andesite;road/andesite;lever_acacia_andesite;road/andesite;road/andesite;lever_acacia_andesite,lever_acacia_andesite
chisel_unlimited;chisel;chisel;chisel_unlimited;chisel;chisel;chisel_unlimited,acacia_slant_andesite_lever,Lever,slant/andesite;slant/andesite;lever_acacia_andesite;slant/andesite;slant/andesite;lever_acacia_andesite,lever_acacia_andesite
chisel_unlimited;chisel;chisel;chisel_unlimited;chisel;chisel;chisel_unlimited,acacia_small_bricks_andesite_lever,Lever,small_bricks/andesite;small_bricks/andesite;lever_acacia_andesite;small_bricks/andesite;small_bricks/andesite;lever_acacia_andesite,lever_acacia_andesite
chisel_unlimited;chisel;chisel;chisel_unlimited;chisel;chisel;chisel_unlimited,acacia_soft_bricks_andesite_lever,Lever,soft_bricks/andesite;soft_bricks/andesite;lever_acacia_andesite;soft_bricks/andesite;soft_bricks/andesite;lever_acacia_andesite,lever_acacia_andesite
chisel_unlimited;chisel;chisel;chisel_unlimited;chisel;chisel;chisel_unlimited,acacia_solid_bricks_andesite_lever,Lever,solid_bricks/andesite;solid_bricks/andesite;lever_acacia_andesite;solid_bricks/andesite;solid_bricks/andesite;lever_acacia_andesite,lever_acacia_andesite
chisel_unlimited;chisel;chisel;chisel_unlimited;chisel;chisel;chisel_unlimited,acacia_tiles_medium_andesite_lever,Lever,tiles_medium/andesite;tiles_medium/andesite;lever_acacia_andesite;tiles_medium/andesite;tiles_medium/andesite;lever_acacia_andesite,lever_acacia_andesite
chisel_unlimited;chisel;chisel;chisel_unlimited;chisel;chisel;chisel_unlimited,acacia_tiles_small_andesite_lever,Lever,tiles_small/andesite;tiles_small/andesite;lever_acacia_andesite;tiles_small/andesite;tiles_small/andesite;lever_acacia_andesite,lever_acacia_andesite
chisel_unlimited;chisel;chisel;chisel_unlimited;chisel;chisel;chisel_unlimited,acacia_triple_bricks_andesite_lever,Lever,triple_bricks/andesite;triple_bricks/andesite;lever_acacia_andesite;triple_bricks/andesite;triple_bricks/andesite;lever_acacia_andesite,lever_acacia_andesite
chisel_unlimited;chisel;chisel;chisel_unlimited;chisel;chisel;chisel_unlimited,acacia_twist_andesite_lever,Lever,twist/andesite;twist/andesite;lever_acacia_andesite;twist/andesite;twist/andesite;lever_acacia_andesite,lever_acacia_andesite
chisel_unlimited;chisel;chisel;chisel_unlimited;chisel;chisel;chisel_unlimited,acacia_weaver_andesite_lever,Lever,weaver/andesite;weaver/andesite;lever_acacia_andesite;weaver/andesite;weaver/andesite;lever_acacia_andesite,lever_acacia_andesite
chisel_unlimited;chisel;chisel;chisel_unlimited;chisel;chisel;chisel_unlimited,acacia_zag_andesite_lever,Lever,zag/andesite;zag/andesite;lever_acacia_andesite;zag/andesite;zag/andesite;lever_acacia_andesite,lever_acacia_andesite
chisel_unlimited;minecraft;minecraft;chisel_unlimited;minecraft;minecraft;chisel_unlimited,acacia_diorite_lever,Lever,diorite;diorite;lever_acacia_diorite;diorite;diorite;lever_acacia_diorite,lever_acacia_diorite
chisel_unlimited;minecraft;minecraft;chisel_unlimited;minecraft;minecraft;chisel_unlimited,acacia_polished_diorite_lever,Lever,polished_diorite;polished_diorite;lever_acacia_diorite;polished_diorite;polished_diorite;lever_acacia_diorite,lever_acacia_diorite
